material,Df,B_T,Jd_Aperm2,Jpin_Aperm2,Jc_Aperm2
YBCO,1.2,0.0,8380909701911.144,0.0,8380909701911.144
YBCO,1.2,0.30071399791278075,8380909701911.144,751535050174.3914,751535050174.3914
YBCO,1.2,0.6014279958255615,8380909701911.144,1009025674846.78,1009025674846.78
YBCO,1.2,0.9021419937383421,8380909701911.144,1171612783163.3945,1171612783163.3945
YBCO,1.2,1.202855991651123,8380909701911.144,1280722452368.1938,1280722452368.1938
YBCO,1.2,1.5035699895639036,8380909701911.144,1353446573364.8762,1353446573364.8762
YBCO,1.2,1.8042839874766843,8380909701911.144,1399115233817.4292,1399115233817.4292
YBCO,1.2,2.104997985389465,8380909701911.144,1423629326399.388,1423629326399.388
YBCO,1.2,2.405711983302246,8380909701911.144,1431083505599.8655,1431083505599.8655
YBCO,1.2,2.7064259812150264,8380909701911.144,1424507264728.9746,1424507264728.9746
YBCO,1.2,3.0071399791278073,8380909701911.144,1406250000000.0,1406250000000.0
YBCO,1.2,3.307853977040588,8380909701911.144,1378200377048.5898,1378200377048.5898
YBCO,1.2,3.6085679749533686,8380909701911.144,1341920265887.6567,1341920265887.6567
YBCO,1.2,3.9092819728661494,8380909701911.144,1298731070151.987,1298731070151.987
YBCO,1.2,4.20999597077893,8380909701911.144,1249771854179.7935,1249771854179.7935
YBCO,1.2,4.510709968691711,8380909701911.144,1196039913468.3484,1196039913468.3484
YBCO,1.2,4.811423966604492,8380909701911.144,1138419957660.6165,1138419957660.6165
YBCO,1.2,5.112137964517272,8380909701911.144,1077705647610.0626,1077705647610.0626
YBCO,1.2,5.412851962430053,8380909701911.144,1014615844790.5298,1014615844790.5298
YBCO,1.2,5.713565960342834,8380909701911.144,949807109323.7168,949807109323.7168
YBCO,1.2,6.014279958255615,8380909701911.144,883883476483.1844,883883476483.1844
YBCO,1.2,6.314993956168395,8380909701911.144,817404219589.748,817404219589.748
YBCO,1.2,6.615707954081176,8380909701911.144,750890096818.4358,750890096818.4358
YBCO,1.2,6.916421951993956,8380909701911.144,684828438540.9058,684828438540.9058
YBCO,1.2,7.217135949906737,8380909701911.144,619677335393.1869,619677335393.1869
YBCO,1.2,7.517849947819518,8380909701911.144,555869119951.473,555869119951.473
YBCO,1.2,7.818563945732299,8380909701911.144,493813287083.28613,493813287083.28613
YBCO,1.2,8.11927794364508,8380909701911.144,433898963523.62366,433898963523.62366
YBCO,1.2,8.41999194155786,8380909701911.144,376497011940.3338,376497011940.3338
YBCO,1.2,8.72070593947064,8380909701911.144,321961835980.7961,321961835980.7961
YBCO,1.2,9.021419937383422,8380909701911.144,270632938682.63705,270632938682.63705
YBCO,1.2,9.322133935296202,8380909701911.144,222836275905.37177,222836275905.37177
YBCO,1.2,9.622847933208984,8380909701911.144,178885438199.98306,178885438199.98306
YBCO,1.2,9.923561931121764,8380909701911.144,139082688141.3536,139082688141.3536
YBCO,1.2,10.224275929034544,8380909701911.144,103719875144.545,103719875144.545
YBCO,1.2,10.524989926947326,8380909701911.144,73079245835.42854,73079245835.42854
YBCO,1.2,10.825703924860106,8380909701911.144,47434164902.525764,47434164902.525764
YBCO,1.2,11.126417922772887,8380909701911.144,27049758836.725296,27049758836.725296
YBCO,1.2,11.427131920685667,8380909701911.144,12183492931.011225,12183492931.011225
YBCO,1.2,11.727845918598447,8380909701911.144,3085690259.08308,3085690259.08308
YBCO,1.2,12.02855991651123,8380909701911.144,0.0,8380909701911.144
MgB2,1.2,0.0,4492678559474.975,0.0,4492678559474.975
MgB2,1.2,0.06705679772940097,4492678559474.975,751535050174.3914,751535050174.3914
MgB2,1.2,0.13411359545880194,4492678559474.975,1009025674846.78,1009025674846.78
MgB2,1.2,0.20117039318820287,4492678559474.975,1171612783163.3945,1171612783163.3945
MgB2,1.2,0.2682271909176039,4492678559474.975,1280722452368.1938,1280722452368.1938
MgB2,1.2,0.3352839886470048,4492678559474.975,1353446573364.8762,1353446573364.8762
MgB2,1.2,0.40234078637640575,4492678559474.975,1399115233817.4292,1399115233817.4292
MgB2,1.2,0.46939758410580673,4492678559474.975,1423629326399.388,1423629326399.388
MgB2,1.2,0.5364543818352078,4492678559474.975,1431083505599.8655,1431083505599.8655
MgB2,1.2,0.6035111795646086,4492678559474.975,1424507264728.9746,1424507264728.9746
MgB2,1.2,0.6705679772940096,4492678559474.975,1406250000000.0,1406250000000.0
MgB2,1.2,0.7376247750234106,4492678559474.975,1378200377048.5898,1378200377048.5898
MgB2,1.2,0.8046815727528115,4492678559474.975,1341920265887.6567,1341920265887.6567
MgB2,1.2,0.8717383704822126,4492678559474.975,1298731070151.987,1298731070151.987
MgB2,1.2,0.9387951682116135,4492678559474.975,1249771854179.794,1249771854179.794
MgB2,1.2,1.0058519659410146,4492678559474.975,1196039913468.3489,1196039913468.3489
