material,Df,T_eval_K,mode,Tc_K,xi_nm,lambda_nm,kappa,Hc_Aperm,Hc1_Aperm,Hc2_Aperm,Jd_Aperm2,Jpin_Aperm2,Jc_Aperm2,Bext_T,vF,m_eff,ns,lambda_ep,mu_star,theta_b
YBCO,0.8,0.0,mcmillan,42.98074666101017,5.758494318460141,44.17473270080857,7.671229710029684,727994.3971063456,170274.71177760183,7897834.381458187,6343109668364.704,1283404772030.5498,1283404772030.5498,1.0,193416.48821365993,1.8838897643384376e-30,7.481987582580972e+27,0.956352499790037,0.12,890.0143496145284
YBCO,0.82,0.0,mcmillan,43.411736059456864,5.722480539075481,43.929985566864524,7.676738307258939,736657.3473759174,172226.00733179462,7997555.430645113,6454350975685.326,1278944540319.144,1278944540319.144,1.0,194134.21033751927,1.8769249467494762e-30,7.537618324674435e+27,0.9610871496100633,0.12,891.113867200651
YBCO,0.84,0.0,mcmillan,43.83411928252724,5.687861440754881,43.69244397207137,7.681699778937055,745170.3455837308,174148.08901387785,8095205.747193724,6564434800822.724,1274598383305.3562,1274598383305.3562,1.0,194837.20397604184,1.870152799178977e-30,7.592307210640345e+27,0.9657302989075099,0.12,892.1881974077548
YBCO,0.86,0.0,mcmillan,44.24824992280832,5.654550273517921,43.46173163684336,7.686151777691082,753539.1385510019,176042.0579725927,8190865.005727621,6673396082827.866,1270362347686.67,1270362347686.67,1.0,195526.11148460818,1.8635635907313773e-30,7.646092054458286e+27,0.9702858327569769,0.12,893.2384967416713
YBCO,0.88,0.0,mcmillan,44.654459717351365,5.622467608539896,43.237500110372835,7.690128804779583,761769.1340087447,177908.94957247673,8284608.373013428,6781268011295.678,1266232575084.3745,1266232575084.3745,1.0,196201.53305202452,1.8571482940624256e-30,7.699008314392935e+27,0.974757385530792,0.12,894.2658432185584
YBCO,0.9,0.0,mcmillan,45.053060336993724,5.591540566203629,43.019426134652896,7.6936625291911085,769865.4273985561,179749.7387142473,8376506.842936574,6888082147773.464,1262205315205.8298,1262205315205.8298,1.0,196864.03035570143,1.850898519864867e-30,7.751089289578106e+27,0.9791483623609768,0.12,895.2712433374779
YBCO,0.92,0.0,mcmillan,45.4443449945887,5.561702141003503,42.807209310518395,7.696782068734565,777832.826037495,181565.34461721824,8466627.540853826,6993868536483.935,1258276934645.1628,1258276934645.1628,1.0,197514.12982645945,1.844806458758919e-30,7.802366296220698e+27,0.9834619583314298,0.12,896.2556382937971
YBCO,0.94,0.0,mcmillan,45.82858989384131,5.532890609300852,42.60057002536198,7.6995142383169375,785675.8709553026,183356.63512857293,8555034.000623582,7098655805494.054,1254443922320.955,1254443922320.955,1.0,198152.32557216808,1.8388648296095452e-30,7.852868825931698e+27,0.9877011756841471,0.12,897.2199095306396
YBCO,0.96,0.0,mcmillan,46.206055537459555,5.505049008209162,42.39924760830547,7.7018837698046765,793398.8566706541,185124.4306153041,8641786.417207608,7202471259321.965,1250702892330.358,1250702892330.358,1.0,198779.08200231477,1.833066833439531e-30,7.902624688336595e+27,0.9918688392825663,0.12,898.1648837113702
YBCO,0.98,0.0,mcmillan,46.57698791080603,5.478124675755982,42.2029986836941,7.703913507202184,801005.8491378918,186869.50748702657,8726941.877387214,7305340963854.415,1247050584829.0664,1247050584829.0664,1.0,199394.83618964464,1.827406112229718e-30,7.951660139819045e+27,0.9959676105409553,0.12,899.0913371841992
