concentration_mM,wavenumber_cm-1,intensity
2.500000000000000000e+01,2.000000000000000000e+02,1.322535900416902180e-02
2.500000000000000000e+01,2.006666666666666572e+02,-2.183809464231542194e-02
2.500000000000000000e+01,2.013333333333333428e+02,2.322525440339246600e-02
2.500000000000000000e+01,2.020000000000000000e+02,4.175838509848653346e-02
2.500000000000000000e+01,2.026666666666666572e+02,-5.656017974523221831e-03
2.500000000000000000e+01,2.033333333333333428e+02,-2.288193500108329920e-02
2.500000000000000000e+01,2.040000000000000000e+02,3.232081868898814547e-02
2.500000000000000000e+01,2.046666666666666572e+02,3.686893236082705583e-04
2.500000000000000000e+01,2.053333333333333428e+02,-7.540759918029861508e-03
2.500000000000000000e+01,2.060000000000000000e+02,-3.028746688040248602e-03
2.500000000000000000e+01,2.066666666666666572e+02,2.726492545250067123e-02
2.500000000000000000e+01,2.073333333333333428e+02,4.685088420209866655e-02
2.500000000000000000e+01,2.080000000000000000e+02,-6.550932732657010343e-03
2.500000000000000000e+01,2.086666666666666572e+02,2.507785166864771875e-02
2.500000000000000000e+01,2.093333333333333428e+02,2.684908614742728336e-02
2.500000000000000000e+01,2.100000000000000000e+02,2.519657865815783104e-02
2.500000000000000000e+01,2.106666666666666572e+02,3.367524097311807435e-02
2.500000000000000000e+01,2.113333333333333428e+02,2.064216442985759153e-02
2.500000000000000000e+01,2.120000000000000000e+02,-7.410504078667886491e-03
2.500000000000000000e+01,2.126666666666666572e+02,2.599994975653699761e-02
2.500000000000000000e+01,2.133333333333333428e+02,4.221545099769927201e-02
2.500000000000000000e+01,2.140000000000000000e+02,1.618796449471995164e-02
2.500000000000000000e+01,2.146666666666666572e+02,4.931469194304746728e-03
2.500000000000000000e+01,2.153333333333333428e+02,3.767293520793853906e-02
2.500000000000000000e+01,2.160000000000000000e+02,1.090413723091685806e-02
2.500000000000000000e+01,2.166666666666666572e+02,1.654734875998286128e-02
2.500000000000000000e+01,2.173333333333333428e+02,3.840990322197442020e-02
2.500000000000000000e+01,2.180000000000000000e+02,3.328968463345624573e-02
2.500000000000000000e+01,2.186666666666666572e+02,6.930424758960468390e-02
2.500000000000000000e+01,2.193333333333333428e+02,1.406311604073705313e-02
2.500000000000000000e+01,2.200000000000000000e+02,4.472753876400890893e-02
2.500000000000000000e+01,2.206666666666666572e+02,4.690745706002408949e-03
2.500000000000000000e+01,2.213333333333333428e+02,6.450718589709233952e-02
2.500000000000000000e+01,2.220000000000000000e+02,5.133703983867983489e-02
2.500000000000000000e+01,2.226666666666666572e+02,3.768641933225382046e-02
2.500000000000000000e+01,2.233333333333333428e+02,-4.429646189753898983e-03
2.500000000000000000e+01,2.240000000000000000e+02,3.326240331605895273e-02
2.500000000000000000e+01,2.246666666666666572e+02,8.700366243078431691e-03
2.500000000000000000e+01,2.253333333333333428e+02,3.728585423047177383e-02
2.500000000000000000e+01,2.260000000000000000e+02,2.605184967538096835e-02
2.500000000000000000e+01,2.266666666666666572e+02,1.928134186705866143e-02
2.500000000000000000e+01,2.273333333333333428e+02,6.191907632515319254e-02
2.500000000000000000e+01,2.280000000000000000e+02,6.266216358759898325e-03
2.500000000000000000e+01,2.286666666666666572e+02,1.265289906736701865e-02
2.500000000000000000e+01,2.293333333333333428e+02,3.776922596956826250e-02
2.500000000000000000e+01,2.300000000000000000e+02,1.152290493742012117e-02
2.500000000000000000e+01,2.306666666666666572e+02,1.232259988779396513e-02
2.500000000000000000e+01,2.313333333333333428e+02,4.194537394187883295e-02
2.500000000000000000e+01,2.320000000000000000e+02,4.172126773055291615e-02
2.500000000000000000e+01,2.326666666666666572e+02,6.246996221518228559e-02
2.500000000000000000e+01,2.333333333333333144e+02,3.598717815251439162e-02
2.500000000000000000e+01,2.340000000000000000e+02,4.528119503554015046e-02
2.500000000000000000e+01,2.346666666666666572e+02,2.450401036369844951e-02
2.500000000000000000e+01,2.353333333333333144e+02,1.916293311157075269e-02
2.500000000000000000e+01,2.360000000000000000e+02,2.748231537558575716e-02
2.500000000000000000e+01,2.366666666666666572e+02,1.303706328526649770e-02
2.500000000000000000e+01,2.373333333333333144e+02,4.705732098659635987e-02
2.500000000000000000e+01,2.380000000000000000e+02,8.064374153842115284e-03
2.500000000000000000e+01,2.386666666666666572e+02,3.999886904184765668e-02
2.500000000000000000e+01,2.393333333333333144e+02,6.556590065804375478e-02
2.500000000000000000e+01,2.400000000000000000e+02,2.270619465844667811e-02
2.500000000000000000e+01,2.406666666666666572e+02,4.995382141626508038e-02
2.500000000000000000e+01,2.413333333333333144e+02,3.187029550733878891e-02
2.500000000000000000e+01,2.420000000000000000e+02,2.620804245693237819e-02
2.500000000000000000e+01,2.426666666666666572e+02,4.139048953487617366e-02
2.500000000000000000e+01,2.433333333333333144e+02,3.809453377885379383e-02
2.500000000000000000e+01,2.440000000000000000e+02,3.490472962828270603e-02
2.500000000000000000e+01,2.446666666666666572e+02,2.533970019839937304e-02
2.500000000000000000e+01,2.453333333333333144e+02,1.116961923644894591e-02
2.500000000000000000e+01,2.460000000000000000e+02,5.836234408035841092e-02
2.500000000000000000e+01,2.466666666666666572e+02,3.083257298856348014e-02
2.500000000000000000e+01,2.473333333333333144e+02,4.197100945261740546e-02
2.500000000000000000e+01,2.480000000000000000e+02,6.783673576645177228e-02
2.500000000000000000e+01,2.486666666666666572e+02,4.528937721412104600e-02
2.500000000000000000e+01,2.493333333333333144e+02,4.498243925022758771e-03
2.500000000000000000e+01,2.500000000000000000e+02,3.245626253975824466e-03
2.500000000000000000e+01,2.506666666666666572e+02,6.576946747338713317e-02
2.500000000000000000e+01,2.513333333333333144e+02,-7.846443878743981915e-03
2.500000000000000000e+01,2.520000000000000000e+02,1.104724358361738011e-02
2.500000000000000000e+01,2.526666666666666572e+02,3.920184986732550697e-02
2.500000000000000000e+01,2.533333333333333144e+02,3.170201592796971501e-02
2.500000000000000000e+01,2.540000000000000000e+02,-3.603520809884585424e-03
2.500000000000000000e+01,2.546666666666666572e+02,2.799104227192359892e-02
2.500000000000000000e+01,2.553333333333333144e+02,6.609576284460985662e-02
2.500000000000000000e+01,2.560000000000000000e+02,8.251931035650351270e-03
2.500000000000000000e+01,2.566666666666666856e+02,-5.330617660914600126e-03
2.500000000000000000e+01,2.573333333333333144e+02,1.288066271712325073e-02
2.500000000000000000e+01,2.580000000000000000e+02,2.834722464581063139e-02
2.500000000000000000e+01,2.586666666666666856e+02,1.782496334906165381e-02
2.500000000000000000e+01,2.593333333333333144e+02,4.654949506851981111e-02
2.500000000000000000e+01,2.600000000000000000e+02,4.949612365091812793e-02
2.500000000000000000e+01,2.606666666666666856e+02,5.361578109452221769e-02
2.500000000000000000e+01,2.613333333333333144e+02,4.534650716962393413e-02
2.500000000000000000e+01,2.620000000000000000e+02,2.160036360815603684e-02
2.500000000000000000e+01,2.626666666666666856e+02,1.559638928307482096e-02
2.500000000000000000e+01,2.633333333333333144e+02,2.755181324339524632e-02
2.500000000000000000e+01,2.640000000000000000e+02,4.722733335014706740e-02
2.500000000000000000e+01,2.646666666666666288e+02,9.210071117639440086e-03
2.500000000000000000e+01,2.653333333333333144e+02,3.310258297291034796e-02
2.500000000000000000e+01,2.660000000000000000e+02,4.736460428317815219e-02
2.500000000000000000e+01,2.666666666666666288e+02,4.960794112936227351e-02
2.500000000000000000e+01,2.673333333333333144e+02,3.949842251703263724e-02
2.500000000000000000e+01,2.680000000000000000e+02,5.284687290002615390e-03
2.500000000000000000e+01,2.686666666666666288e+02,2.229580292775951156e-02
2.500000000000000000e+01,2.693333333333333144e+02,2.529391903108927503e-02
2.500000000000000000e+01,2.700000000000000000e+02,-1.060966751664000132e-02
2.500000000000000000e+01,2.706666666666666288e+02,9.319146111066586857e-03
2.500000000000000000e+01,2.713333333333333144e+02,5.566895035367078193e-02
2.500000000000000000e+01,2.720000000000000000e+02,1.834311474279207155e-02
2.500000000000000000e+01,2.726666666666666288e+02,-2.359083916711128548e-03
2.500000000000000000e+01,2.733333333333333144e+02,3.714274921526343476e-02
2.500000000000000000e+01,2.740000000000000000e+02,5.111417493277074786e-02
2.500000000000000000e+01,2.746666666666666288e+02,-7.662152122402749593e-03
2.500000000000000000e+01,2.753333333333333144e+02,2.396192794413249533e-02
2.500000000000000000e+01,2.760000000000000000e+02,1.007225643383469205e-02
2.500000000000000000e+01,2.766666666666666288e+02,1.150481691657915737e-02
2.500000000000000000e+01,2.773333333333333144e+02,8.232419090455425636e-03
2.500000000000000000e+01,2.780000000000000000e+02,3.264489109743269613e-02
2.500000000000000000e+01,2.786666666666666288e+02,2.606912779551646270e-02
2.500000000000000000e+01,2.793333333333333144e+02,5.573754847627314379e-02
2.500000000000000000e+01,2.800000000000000000e+02,7.074270247938597295e-03
2.500000000000000000e+01,2.806666666666666288e+02,5.821235753821246695e-02
2.500000000000000000e+01,2.813333333333333144e+02,2.872109413525278376e-02
2.500000000000000000e+01,2.820000000000000000e+02,3.037679704791290680e-02
2.500000000000000000e+01,2.826666666666666288e+02,1.195444118971927816e-02
2.500000000000000000e+01,2.833333333333333144e+02,3.686242703853029323e-02
2.500000000000000000e+01,2.840000000000000000e+02,5.610520166521912322e-02
2.500000000000000000e+01,2.846666666666666288e+02,1.077740056441704383e-02
2.500000000000000000e+01,2.853333333333333144e+02,5.109775784839427903e-02
2.500000000000000000e+01,2.860000000000000000e+02,1.484291938383646217e-02
2.500000000000000000e+01,2.866666666666666288e+02,1.950104691478306285e-02
2.500000000000000000e+01,2.873333333333333144e+02,3.399473513471563263e-02
2.500000000000000000e+01,2.880000000000000000e+02,2.804501743162853694e-02
2.500000000000000000e+01,2.886666666666666288e+02,2.682311069939016801e-02
2.500000000000000000e+01,2.893333333333333144e+02,2.865066320458665994e-02
2.500000000000000000e+01,2.900000000000000000e+02,6.954244659943790985e-02
2.500000000000000000e+01,2.906666666666666288e+02,3.223294860237500142e-02
2.500000000000000000e+01,2.913333333333333144e+02,7.342430474483376684e-03
2.500000000000000000e+01,2.920000000000000000e+02,4.798765647323746664e-03
2.500000000000000000e+01,2.926666666666666288e+02,2.341867360160352490e-02
2.500000000000000000e+01,2.933333333333333144e+02,6.727043765078573323e-02
2.500000000000000000e+01,2.940000000000000000e+02,8.082545044631338216e-02
2.500000000000000000e+01,2.946666666666666288e+02,4.849003273764720956e-02
2.500000000000000000e+01,2.953333333333333144e+02,5.074625812550869614e-03
2.500000000000000000e+01,2.960000000000000000e+02,1.109709128042648055e-02
2.500000000000000000e+01,2.966666666666666288e+02,5.926957411970246170e-03
2.500000000000000000e+01,2.973333333333333144e+02,1.149252891150133807e-02
2.500000000000000000e+01,2.980000000000000000e+02,-1.808924524194308048e-02
2.500000000000000000e+01,2.986666666666666288e+02,4.120563941175600653e-02
2.500000000000000000e+01,2.993333333333333144e+02,1.757174789879973470e-02
2.500000000000000000e+01,3.000000000000000000e+02,6.726173906334105557e-02
2.500000000000000000e+01,3.006666666666666288e+02,3.831050945339526531e-02
2.500000000000000000e+01,3.013333333333333144e+02,4.466526465263036261e-02
2.500000000000000000e+01,3.020000000000000000e+02,-5.898480953671136201e-03
2.500000000000000000e+01,3.026666666666666288e+02,2.023932792910678943e-02
2.500000000000000000e+01,3.033333333333333144e+02,5.994705321322724850e-03
2.500000000000000000e+01,3.040000000000000000e+02,-2.459248901448704561e-03
2.500000000000000000e+01,3.046666666666666288e+02,4.207662110448154996e-02
2.500000000000000000e+01,3.053333333333333144e+02,3.181627694006609192e-02
2.500000000000000000e+01,3.060000000000000000e+02,-3.545686110630226484e-04
2.500000000000000000e+01,3.066666666666666288e+02,5.687079975699484147e-02
2.500000000000000000e+01,3.073333333333333144e+02,4.307044692314818124e-02
2.500000000000000000e+01,3.080000000000000000e+02,1.798677920535425578e-02
2.500000000000000000e+01,3.086666666666666288e+02,4.199512476150848300e-02
2.500000000000000000e+01,3.093333333333333144e+02,3.414181179573828884e-02
