concentration_mM,wavenumber_cm-1,intensity
5.000000000000000000e+01,2.000000000000000000e+02,3.107007682382849009e-02
5.000000000000000000e+01,2.006666666666666572e+02,5.386425725379838381e-02
5.000000000000000000e+01,2.013333333333333428e+02,1.488536185292020295e-02
5.000000000000000000e+01,2.020000000000000000e+02,4.151078648081337613e-03
5.000000000000000000e+01,2.026666666666666572e+02,1.367313045691550231e-02
5.000000000000000000e+01,2.033333333333333428e+02,2.006976045088722932e-02
5.000000000000000000e+01,2.040000000000000000e+02,9.930369437363875673e-03
5.000000000000000000e+01,2.046666666666666572e+02,3.459332347635875327e-02
5.000000000000000000e+01,2.053333333333333428e+02,2.914793697136196585e-02
5.000000000000000000e+01,2.060000000000000000e+02,1.391349376873248292e-02
5.000000000000000000e+01,2.066666666666666572e+02,2.027016180964448522e-02
5.000000000000000000e+01,2.073333333333333428e+02,-1.004798366423067732e-02
5.000000000000000000e+01,2.080000000000000000e+02,2.722508551018777700e-02
5.000000000000000000e+01,2.086666666666666572e+02,-7.009466200834521543e-03
5.000000000000000000e+01,2.093333333333333428e+02,1.538670221153375962e-02
5.000000000000000000e+01,2.100000000000000000e+02,1.177311072539280294e-02
5.000000000000000000e+01,2.106666666666666572e+02,3.039824667965363228e-02
5.000000000000000000e+01,2.113333333333333428e+02,1.225049213567370836e-02
5.000000000000000000e+01,2.120000000000000000e+02,2.026084104900110344e-02
5.000000000000000000e+01,2.126666666666666572e+02,5.117050734266542777e-02
5.000000000000000000e+01,2.133333333333333428e+02,-1.005530746213025017e-02
5.000000000000000000e+01,2.140000000000000000e+02,2.366203253428024456e-02
5.000000000000000000e+01,2.146666666666666572e+02,3.875085208448780794e-02
5.000000000000000000e+01,2.153333333333333428e+02,8.978329411317419531e-03
5.000000000000000000e+01,2.160000000000000000e+02,2.201844928526449849e-02
5.000000000000000000e+01,2.166666666666666572e+02,-5.559910509352072178e-03
5.000000000000000000e+01,2.173333333333333428e+02,-1.044224939406410146e-02
5.000000000000000000e+01,2.180000000000000000e+02,3.624218044408823725e-02
5.000000000000000000e+01,2.186666666666666572e+02,1.532379466358026188e-02
