concentration_mM,wavenumber_cm-1,intensity
2.500000000000000000e+01,2.000000000000000000e+02,-1.241005497807300476e-02
2.500000000000000000e+01,2.006666666666666572e+02,1.447612940024474090e-02
2.500000000000000000e+01,2.013333333333333428e+02,7.449270912619737617e-02
2.500000000000000000e+01,2.020000000000000000e+02,2.363305323460505522e-02
2.500000000000000000e+01,2.026666666666666572e+02,3.953523050896222413e-02
2.500000000000000000e+01,2.033333333333333428e+02,2.295873072067783696e-02
2.500000000000000000e+01,2.040000000000000000e+02,3.713429725459987951e-03
2.500000000000000000e+01,2.046666666666666572e+02,3.717727671117834753e-02
2.500000000000000000e+01,2.053333333333333428e+02,-2.715141489697321664e-03
2.500000000000000000e+01,2.060000000000000000e+02,3.092927488183020573e-02
2.500000000000000000e+01,2.066666666666666572e+02,-2.197305034493741288e-02
2.500000000000000000e+01,2.073333333333333428e+02,-1.865955536911791807e-03
2.500000000000000000e+01,2.080000000000000000e+02,5.359063641638470848e-02
2.500000000000000000e+01,2.086666666666666572e+02,5.353575644647843440e-02
2.500000000000000000e+01,2.093333333333333428e+02,2.402897338521791520e-03
2.500000000000000000e+01,2.100000000000000000e+02,3.568984681713475993e-02
2.500000000000000000e+01,2.106666666666666572e+02,4.044544697579950665e-02
2.500000000000000000e+01,2.113333333333333428e+02,3.235118552770756967e-02
2.500000000000000000e+01,2.120000000000000000e+02,1.993187250441484648e-02
2.500000000000000000e+01,2.126666666666666572e+02,-1.754713583925142026e-02
2.500000000000000000e+01,2.133333333333333428e+02,5.443381308991171452e-02
2.500000000000000000e+01,2.140000000000000000e+02,7.859550566425128892e-03
2.500000000000000000e+01,2.146666666666666572e+02,4.045450171748876667e-02
2.500000000000000000e+01,2.153333333333333428e+02,4.308217577417293442e-02
2.500000000000000000e+01,2.160000000000000000e+02,1.479699778302174043e-02
2.500000000000000000e+01,2.166666666666666572e+02,2.772939546671280772e-02
2.500000000000000000e+01,2.173333333333333428e+02,2.513634200757743770e-02
2.500000000000000000e+01,2.180000000000000000e+02,3.715943142842698804e-03
2.500000000000000000e+01,2.186666666666666572e+02,2.096343946420565693e-02
2.500000000000000000e+01,2.193333333333333428e+02,2.978380202732130999e-02
2.500000000000000000e+01,2.200000000000000000e+02,5.100399300936861446e-02
2.500000000000000000e+01,2.206666666666666572e+02,5.265448024917780689e-02
2.500000000000000000e+01,2.213333333333333428e+02,-6.210497565678936571e-04
2.500000000000000000e+01,2.220000000000000000e+02,4.289852263177906799e-02
2.500000000000000000e+01,2.226666666666666572e+02,-1.906927080187348009e-02
2.500000000000000000e+01,2.233333333333333428e+02,1.705861595680719864e-02
2.500000000000000000e+01,2.240000000000000000e+02,-1.416651564322048834e-03
2.500000000000000000e+01,2.246666666666666572e+02,4.135598369125241536e-02
2.500000000000000000e+01,2.253333333333333428e+02,3.221018839293171565e-02
2.500000000000000000e+01,2.260000000000000000e+02,-9.524890971287759689e-03
2.500000000000000000e+01,2.266666666666666572e+02,6.626877856934668826e-03
2.500000000000000000e+01,2.273333333333333428e+02,2.600870445550825319e-02
2.500000000000000000e+01,2.280000000000000000e+02,2.089244509709210773e-02
2.500000000000000000e+01,2.286666666666666572e+02,1.609429391533701362e-02
2.500000000000000000e+01,2.293333333333333428e+02,1.729888379223432082e-02
2.500000000000000000e+01,2.300000000000000000e+02,-8.429157625773467388e-03
2.500000000000000000e+01,2.306666666666666572e+02,5.181366927722326488e-02
2.500000000000000000e+01,2.313333333333333428e+02,4.520628541808481560e-02
2.500000000000000000e+01,2.320000000000000000e+02,3.877646662319418625e-02
2.500000000000000000e+01,2.326666666666666572e+02,2.318933001707601527e-02
2.500000000000000000e+01,2.333333333333333144e+02,2.997355479420440311e-02
2.500000000000000000e+01,2.340000000000000000e+02,5.137442966181771098e-02
2.500000000000000000e+01,2.346666666666666572e+02,1.239997885612369524e-02
2.500000000000000000e+01,2.353333333333333144e+02,2.065068034776747219e-02
2.500000000000000000e+01,2.360000000000000000e+02,-1.616617701388299924e-02
2.500000000000000000e+01,2.366666666666666572e+02,2.674615478628595416e-02
2.500000000000000000e+01,2.373333333333333144e+02,2.451495829986782143e-02
2.500000000000000000e+01,2.380000000000000000e+02,1.404700266787094025e-02
2.500000000000000000e+01,2.386666666666666572e+02,3.506902982896482196e-02
2.500000000000000000e+01,2.393333333333333144e+02,3.053536848598143935e-02
2.500000000000000000e+01,2.400000000000000000e+02,5.071808983961143685e-02
2.500000000000000000e+01,2.406666666666666572e+02,3.217153974561473562e-03
2.500000000000000000e+01,2.413333333333333144e+02,1.292001822132755363e-02
2.500000000000000000e+01,2.420000000000000000e+02,4.027422274520624235e-02
2.500000000000000000e+01,2.426666666666666572e+02,2.129119860493153618e-02
2.500000000000000000e+01,2.433333333333333144e+02,2.357950668575088671e-02
2.500000000000000000e+01,2.440000000000000000e+02,7.039575735403241774e-02
2.500000000000000000e+01,2.446666666666666572e+02,-4.072308402464849819e-04
2.500000000000000000e+01,2.453333333333333144e+02,2.272913471799740265e-02
2.500000000000000000e+01,2.460000000000000000e+02,9.361897516800183477e-03
2.500000000000000000e+01,2.466666666666666572e+02,4.424565641393597010e-02
2.500000000000000000e+01,2.473333333333333144e+02,1.286398615399273263e-02
2.500000000000000000e+01,2.480000000000000000e+02,3.167930252634269805e-02
2.500000000000000000e+01,2.486666666666666572e+02,3.968409955766957070e-02
2.500000000000000000e+01,2.493333333333333144e+02,3.973921447710867388e-02
2.500000000000000000e+01,2.500000000000000000e+02,2.995798707065708277e-02
2.500000000000000000e+01,2.506666666666666572e+02,2.429563076222883769e-02
2.500000000000000000e+01,2.513333333333333144e+02,9.432850927440224881e-03
2.500000000000000000e+01,2.520000000000000000e+02,2.483217938037954320e-02
2.500000000000000000e+01,2.526666666666666572e+02,2.880062580970878597e-02
2.500000000000000000e+01,2.533333333333333144e+02,3.560036822744591656e-02
2.500000000000000000e+01,2.540000000000000000e+02,2.246173507077395964e-02
2.500000000000000000e+01,2.546666666666666572e+02,6.175911956678478698e-02
2.500000000000000000e+01,2.553333333333333144e+02,2.232899591746824799e-02
2.500000000000000000e+01,2.560000000000000000e+02,4.900595536700014243e-02
