concentration_mM,wavenumber_cm-1,intensity
5.000000000000000000e+01,2.000000000000000000e+02,-1.712612066011223039e-03
5.000000000000000000e+01,2.006666666666666572e+02,4.001357559833838839e-02
5.000000000000000000e+01,2.013333333333333428e+02,2.579290329437317758e-02
5.000000000000000000e+01,2.020000000000000000e+02,-9.925894278361841599e-03
5.000000000000000000e+01,2.026666666666666572e+02,8.694661627295938514e-03
5.000000000000000000e+01,2.033333333333333428e+02,5.336206407527635531e-02
5.000000000000000000e+01,2.040000000000000000e+02,-2.813358486786148027e-02
5.000000000000000000e+01,2.046666666666666572e+02,1.188841408954312284e-02
5.000000000000000000e+01,2.053333333333333428e+02,4.585205850744401845e-02
5.000000000000000000e+01,2.060000000000000000e+02,3.265191954697963667e-03
5.000000000000000000e+01,2.066666666666666572e+02,7.088943634225578633e-03
5.000000000000000000e+01,2.073333333333333428e+02,1.883915395459551459e-02
5.000000000000000000e+01,2.080000000000000000e+02,5.062779252248575390e-02
5.000000000000000000e+01,2.086666666666666572e+02,8.088626732973645123e-03
5.000000000000000000e+01,2.093333333333333428e+02,1.205369414041202597e-02
5.000000000000000000e+01,2.100000000000000000e+02,1.231297448762965450e-02
5.000000000000000000e+01,2.106666666666666572e+02,6.518526832117578496e-02
5.000000000000000000e+01,2.113333333333333428e+02,6.486905511280906256e-02
5.000000000000000000e+01,2.120000000000000000e+02,4.128107795757754439e-02
5.000000000000000000e+01,2.126666666666666572e+02,2.899039465016378658e-02
5.000000000000000000e+01,2.133333333333333428e+02,3.608070485125818017e-02
5.000000000000000000e+01,2.140000000000000000e+02,5.121464056301597984e-02
5.000000000000000000e+01,2.146666666666666572e+02,2.749989298618839284e-03
5.000000000000000000e+01,2.153333333333333428e+02,4.504991422897540454e-02
5.000000000000000000e+01,2.160000000000000000e+02,-3.477613354980247512e-03
5.000000000000000000e+01,2.166666666666666572e+02,8.911636617598460777e-03
5.000000000000000000e+01,2.173333333333333428e+02,3.987543724933935441e-02
5.000000000000000000e+01,2.180000000000000000e+02,-6.773614004519378645e-03
5.000000000000000000e+01,2.186666666666666572e+02,1.906529226289334356e-02
5.000000000000000000e+01,2.193333333333333428e+02,4.698235416139624754e-03
5.000000000000000000e+01,2.200000000000000000e+02,1.688761258938806242e-02
5.000000000000000000e+01,2.206666666666666572e+02,-3.390511544254782433e-02
5.000000000000000000e+01,2.213333333333333428e+02,-1.329732875686360713e-02
5.000000000000000000e+01,2.220000000000000000e+02,8.202455308041655541e-03
