wavenumber_cm-1,intensity
2.000000000000000000e+02,-1.299994723127506288e-02
2.002916666666666572e+02,5.104666979128383297e-02
2.005833333333333428e+02,2.583422997729916890e-02
2.008750000000000000e+02,4.444468912797852611e-02
2.011666666666666572e+02,3.100035805590990040e-02
2.014583333333333428e+02,1.868417642626352126e-02
2.017500000000000000e+02,3.106000627219147187e-02
2.020416666666666572e+02,2.755503652161402778e-02
2.023333333333333428e+02,4.967500487596095138e-02
2.026250000000000000e+02,2.892979308479508294e-02
2.029166666666666572e+02,9.606926098812485978e-03
2.032083333333333428e+02,-1.099918159489121638e-03
2.035000000000000000e+02,2.326858950967287260e-02
2.037916666666666572e+02,5.741670203293351704e-02
2.040833333333333428e+02,-6.072605548722929958e-03
2.043750000000000000e+02,-8.538274344052267789e-03
2.046666666666666572e+02,3.041493089006058748e-03
2.049583333333333428e+02,3.128147168958544944e-02
2.052500000000000000e+02,3.369126199766375729e-02
2.055416666666666572e+02,2.359136202027313500e-02
2.058333333333333428e+02,3.598223399824403146e-02
2.061250000000000000e+02,3.657259230739980105e-02
2.064166666666666572e+02,3.656517253874685958e-02
2.067083333333333428e+02,1.858512832375979612e-02
2.070000000000000000e+02,4.365791306485234530e-02
2.072916666666666572e+02,3.486411766251224648e-02
2.075833333333333428e+02,5.342672351495932059e-02
2.078750000000000000e+02,-3.987483984808968401e-02
2.081666666666666572e+02,2.276581193794417757e-02
2.084583333333333428e+02,7.652818224375756290e-03
2.087500000000000000e+02,-2.844576150082621380e-03
2.090416666666666572e+02,6.988053872209947642e-03
2.093333333333333428e+02,2.388593348484664355e-02
2.096250000000000000e+02,1.916197770777870388e-02
2.099166666666666572e+02,-1.701677376367160405e-02
2.102083333333333428e+02,9.467810365345327023e-03
2.105000000000000000e+02,2.478351230818056500e-02
2.107916666666666572e+02,3.565336852806412493e-02
2.110833333333333428e+02,3.135729682187229223e-02
2.113750000000000000e+02,2.774514852656361288e-02
2.116666666666666572e+02,3.312384438036844458e-02
2.119583333333333428e+02,2.192121052001199874e-02
2.122500000000000000e+02,4.796010303943869235e-02
2.125416666666666572e+02,2.659844579951080312e-02
2.128333333333333428e+02,1.205454561131905598e-02
2.131250000000000000e+02,4.947537413210150586e-02
2.134166666666666572e+02,1.108850938172349122e-02
2.137083333333333428e+02,3.427359187004578450e-02
2.140000000000000000e+02,2.079812364680276582e-02
2.142916666666666572e+02,4.678312012985214041e-03
2.145833333333333428e+02,-7.210735472710630423e-03
2.148750000000000000e+02,3.251667490249905701e-02
2.151666666666666572e+02,1.001352113100330114e-02
2.154583333333333428e+02,2.117066770099390247e-02
2.157500000000000000e+02,2.825435283117380333e-02
2.160416666666666572e+02,2.305291062559814211e-02
2.163333333333333428e+02,-1.642614891803878194e-02
2.166250000000000000e+02,2.649107434991665455e-02
2.169166666666666572e+02,2.626629734220824186e-02
2.172083333333333428e+02,1.871571905532167651e-02
2.175000000000000000e+02,2.732714341882383838e-02
2.177916666666666572e+02,1.274842132034983630e-02
2.180833333333333428e+02,2.221239344443791397e-02
2.183750000000000000e+02,4.562503514879648336e-02
2.186666666666666572e+02,3.329575424237938425e-02
2.189583333333333428e+02,1.285101237171491946e-02
2.192500000000000000e+02,1.395279818021066820e-03
