wavenumber_cm-1,intensity
2.000000000000000000e+02,3.073502864665647594e-02
2.006666666666666572e+02,1.161989975556239341e-02
2.013333333333333428e+02,2.471294469124470788e-02
2.020000000000000000e+02,-1.217033126264864887e-02
2.026666666666666572e+02,-2.132334495850629272e-02
2.033333333333333428e+02,1.536219948657686560e-02
2.040000000000000000e+02,3.009621306725909773e-02
2.046666666666666572e+02,2.415056992812174980e-03
2.053333333333333428e+02,8.181374772843582471e-03
2.060000000000000000e+02,4.136974990444330924e-02
2.066666666666666572e+02,1.129173861726041894e-03
2.073333333333333428e+02,3.893160201412472488e-02
2.080000000000000000e+02,4.327503320683410981e-02
2.086666666666666572e+02,1.613591412161892100e-02
2.093333333333333428e+02,1.535674972073348271e-02
2.100000000000000000e+02,-6.898300478949868919e-03
2.106666666666666572e+02,3.354152767391060247e-02
2.113333333333333428e+02,8.207751311191975943e-03
2.120000000000000000e+02,8.920454727812521592e-03
2.126666666666666572e+02,-8.593589490211012843e-03
2.133333333333333428e+02,4.558375404307460355e-02
2.140000000000000000e+02,3.132949373189334447e-02
2.146666666666666572e+02,1.781158441964825895e-02
2.153333333333333428e+02,2.868896165280506935e-02
2.160000000000000000e+02,8.227573542062901688e-03
2.166666666666666572e+02,4.039462967219596690e-02
2.173333333333333428e+02,1.751495048508074082e-02
2.180000000000000000e+02,1.527304207227234492e-02
2.186666666666666572e+02,6.753343227438066837e-03
2.193333333333333428e+02,3.556436947404681415e-02
2.200000000000000000e+02,3.877261091915130270e-02
2.206666666666666572e+02,4.492717371529151432e-03
2.213333333333333428e+02,3.544142304077393252e-02
2.220000000000000000e+02,2.285074360083007988e-02
2.226666666666666572e+02,-1.000643046014602563e-02
2.233333333333333428e+02,5.780966497417552863e-02
2.240000000000000000e+02,2.928562059798250211e-02
2.246666666666666572e+02,1.013825156934826215e-02
2.253333333333333428e+02,-1.207740141255763539e-02
2.260000000000000000e+02,1.034686636065515301e-02
2.266666666666666572e+02,2.150050728386502380e-02
2.273333333333333428e+02,1.960231834206868640e-02
2.280000000000000000e+02,3.348358329502561931e-02
2.286666666666666572e+02,2.018211551142788662e-02
2.293333333333333428e+02,-3.449941036336799660e-03
2.300000000000000000e+02,1.910274576227756135e-02
2.306666666666666572e+02,2.494242748713438804e-02
2.313333333333333428e+02,4.316090684869220567e-02
2.320000000000000000e+02,2.379399059142393510e-02
2.326666666666666572e+02,1.025137193761828033e-02
2.333333333333333144e+02,2.259320733895202327e-02
2.340000000000000000e+02,-1.635667140669795627e-03
2.346666666666666572e+02,2.278991203729895110e-02
2.353333333333333144e+02,2.409861937517333852e-02
2.360000000000000000e+02,4.259872810737621446e-02
2.366666666666666572e+02,5.958003673537969058e-02
2.373333333333333144e+02,3.235533699933359347e-02
2.380000000000000000e+02,2.678024052945804367e-02
2.386666666666666572e+02,2.622789392352033178e-02
2.393333333333333144e+02,2.590632993508687129e-02
2.400000000000000000e+02,1.284455268089267424e-02
2.406666666666666572e+02,3.476519304959714562e-02
2.413333333333333144e+02,2.179601581272141292e-02
2.420000000000000000e+02,1.531056180822558919e-02
2.426666666666666572e+02,3.705002635752084605e-02
2.433333333333333144e+02,8.982282393156990757e-03
2.440000000000000000e+02,3.594430386407167222e-02
2.446666666666666572e+02,2.625680616753608282e-03
2.453333333333333144e+02,4.093324798720144458e-03
2.460000000000000000e+02,7.119406337242770166e-03
2.466666666666666572e+02,4.728693698694462488e-03
2.473333333333333144e+02,3.024866146170419878e-02
2.480000000000000000e+02,4.420600283465620645e-02
2.486666666666666572e+02,1.357763280483163283e-02
2.493333333333333144e+02,3.743740854850886174e-02
