wavenumber_cm-1,intensity
2.000000000000000000e+02,1.437515035853632710e-02
2.006666666666666572e+02,5.513472465980258017e-03
2.013333333333333428e+02,9.113288807460347488e-03
2.020000000000000000e+02,3.239719365963465714e-02
2.026666666666666572e+02,1.429319981791325397e-02
2.033333333333333428e+02,1.784943662571162812e-02
2.040000000000000000e+02,5.792000975830978449e-02
2.046666666666666572e+02,5.852027146595197710e-02
2.053333333333333428e+02,1.037543292348244717e-03
2.060000000000000000e+02,3.693572382805092313e-02
2.066666666666666572e+02,1.017083961343012537e-02
2.073333333333333428e+02,6.247201818391559525e-02
2.080000000000000000e+02,5.217828397739565638e-02
2.086666666666666572e+02,-1.295071047534360198e-02
2.093333333333333428e+02,4.290139651840030321e-02
2.100000000000000000e+02,1.308398120985353880e-02
2.106666666666666572e+02,5.450892064719956021e-02
2.113333333333333428e+02,3.718071102339975953e-02
2.120000000000000000e+02,5.704945241039445503e-02
2.126666666666666572e+02,1.490320972395934793e-02
2.133333333333333428e+02,2.115718580841478152e-02
2.140000000000000000e+02,3.470265274511227099e-02
2.146666666666666572e+02,-3.954213904994407364e-03
2.153333333333333428e+02,2.971870565213266535e-02
2.160000000000000000e+02,3.302830628858012540e-02
2.166666666666666572e+02,7.788526580990768125e-03
2.173333333333333428e+02,-3.231048021370087897e-02
2.180000000000000000e+02,2.592390048851212631e-02
2.186666666666666572e+02,4.356354483905230945e-02
2.193333333333333428e+02,2.851218348676151301e-02
2.200000000000000000e+02,2.216221471963419551e-02
2.206666666666666572e+02,2.384422048598306212e-02
2.213333333333333428e+02,3.497588394723033511e-02
2.220000000000000000e+02,7.537118842959043483e-03
2.226666666666666572e+02,5.216707802936881161e-03
2.233333333333333428e+02,2.365741345470680906e-02
2.240000000000000000e+02,5.251062088951041068e-02
2.246666666666666572e+02,1.005232088156389654e-02
2.253333333333333428e+02,6.586763305573058863e-03
2.260000000000000000e+02,5.776744298458291044e-02
2.266666666666666572e+02,3.209849170932669443e-02
2.273333333333333428e+02,-8.924321954563996240e-03
2.280000000000000000e+02,4.451411453270759377e-02
2.286666666666666572e+02,2.638586227128824832e-02
2.293333333333333428e+02,4.016884660763159198e-02
2.300000000000000000e+02,-2.517531286403352359e-03
2.306666666666666572e+02,1.356571011686890683e-02
2.313333333333333428e+02,5.777332383558585194e-02
2.320000000000000000e+02,2.868038866210004950e-02
2.326666666666666572e+02,1.080014144657812612e-02
2.333333333333333144e+02,5.420690222313003653e-02
2.340000000000000000e+02,3.030872847903954420e-02
2.346666666666666572e+02,-2.558889799997112260e-02
2.353333333333333144e+02,3.141104688695590258e-02
2.360000000000000000e+02,1.663431348847193084e-02
2.366666666666666572e+02,4.592869709690865221e-02
2.373333333333333144e+02,4.653950396861650241e-02
2.380000000000000000e+02,4.914407742296844628e-02
2.386666666666666572e+02,4.574588827587984519e-02
2.393333333333333144e+02,3.826980776271073081e-02
2.400000000000000000e+02,3.855948431148248368e-02
2.406666666666666572e+02,7.569771211849794096e-03
2.413333333333333144e+02,3.229689142082624309e-02
2.420000000000000000e+02,1.242187196056981913e-02
2.426666666666666572e+02,7.399124785926408654e-02
2.433333333333333144e+02,1.636453828089518003e-02
2.440000000000000000e+02,-1.067494346001771066e-03
2.446666666666666572e+02,-1.371616644324200746e-02
2.453333333333333144e+02,1.934211110766671793e-03
2.460000000000000000e+02,5.179992304348918913e-03
2.466666666666666572e+02,1.730790730029536928e-02
2.473333333333333144e+02,1.637842035757379466e-02
2.480000000000000000e+02,1.629124132259728019e-02
2.486666666666666572e+02,3.254495853220204515e-02
2.493333333333333144e+02,2.021389760686968101e-02
2.500000000000000000e+02,2.441449372366260792e-02
2.506666666666666572e+02,4.805884962689674356e-02
2.513333333333333144e+02,1.282542309730534159e-02
2.520000000000000000e+02,2.159560706313386896e-02
2.526666666666666572e+02,1.216961306636962607e-02
2.533333333333333144e+02,5.172096540534327352e-02
2.540000000000000000e+02,3.206812933423534157e-02
2.546666666666666572e+02,3.199643134942759676e-02
2.553333333333333144e+02,2.386924532120551085e-03
2.560000000000000000e+02,3.205346026769591988e-02
2.566666666666666856e+02,4.751846739115419410e-02
2.573333333333333144e+02,5.957257874848485846e-03
2.580000000000000000e+02,1.459248195155589747e-02
2.586666666666666856e+02,4.535597795234477814e-03
2.593333333333333144e+02,5.827314424387934622e-04
2.600000000000000000e+02,1.667007948546259805e-02
2.606666666666666856e+02,3.884557102031940823e-02
2.613333333333333144e+02,1.715133892586092820e-02
2.620000000000000000e+02,6.840001353525347605e-02
2.626666666666666856e+02,1.547018293182666517e-02
2.633333333333333144e+02,3.233075437305770600e-02
2.640000000000000000e+02,1.954382782923487841e-02
2.646666666666666288e+02,1.729373239969516848e-02
2.653333333333333144e+02,-5.354499239777710251e-03
2.660000000000000000e+02,2.661594773291246427e-02
2.666666666666666288e+02,4.196073007508100555e-02
2.673333333333333144e+02,3.912246748737873564e-02
2.680000000000000000e+02,3.293534527591363698e-02
2.686666666666666288e+02,4.679861026157845771e-02
2.693333333333333144e+02,2.305993172249875753e-02
2.700000000000000000e+02,3.526977141376982233e-02
2.706666666666666288e+02,1.717515332729777772e-02
2.713333333333333144e+02,3.607921706199727907e-02
2.720000000000000000e+02,4.087329929887700830e-02
2.726666666666666288e+02,3.422397082288433645e-02
2.733333333333333144e+02,5.436093620726960285e-02
2.740000000000000000e+02,6.050480733559954194e-02
2.746666666666666288e+02,6.372422887848401551e-03
2.753333333333333144e+02,4.544622029866220853e-02
2.760000000000000000e+02,1.467719088754556450e-02
2.766666666666666288e+02,1.859694428068448674e-02
2.773333333333333144e+02,4.240469846703009971e-04
2.780000000000000000e+02,2.943671345604312664e-02
2.786666666666666288e+02,8.813810212419670442e-04
2.793333333333333144e+02,6.052195333290057849e-02
2.800000000000000000e+02,4.053057467578908418e-02
2.806666666666666288e+02,3.714195681513871028e-02
2.813333333333333144e+02,1.631407690257963977e-02
2.820000000000000000e+02,6.059755328050891315e-02
2.826666666666666288e+02,8.539466999418720422e-03
2.833333333333333144e+02,1.729320164229190826e-02
2.840000000000000000e+02,1.128504921730172014e-02
2.846666666666666288e+02,1.933151934719423704e-02
2.853333333333333144e+02,1.039361337486098547e-02
2.860000000000000000e+02,2.330559270360824803e-02
2.866666666666666288e+02,2.393392419492068948e-02
2.873333333333333144e+02,4.428141713856295625e-02
2.880000000000000000e+02,5.880635699120638493e-02
2.886666666666666288e+02,2.594129668980980907e-02
2.893333333333333144e+02,6.132317557809506547e-02
2.900000000000000000e+02,4.435299333033761171e-02
2.906666666666666288e+02,3.699434482537569679e-02
2.913333333333333144e+02,4.808775464296666247e-02
2.920000000000000000e+02,6.208335732067209178e-02
2.926666666666666288e+02,1.331320392451211879e-02
2.933333333333333144e+02,5.635932933733550643e-02
2.940000000000000000e+02,4.253274346472248058e-02
2.946666666666666288e+02,4.147179857401177977e-02
2.953333333333333144e+02,3.962689091740444203e-02
2.960000000000000000e+02,3.744207104233689132e-02
2.966666666666666288e+02,4.700752077512590499e-02
2.973333333333333144e+02,4.555699642631740043e-02
2.980000000000000000e+02,6.485676791970487742e-02
2.986666666666666288e+02,1.737908487062707341e-02
2.993333333333333144e+02,5.321516430621280047e-03
3.000000000000000000e+02,-1.571625748746204032e-03
3.006666666666666288e+02,1.249758599676168216e-02
3.013333333333333144e+02,3.318203679319073340e-02
3.020000000000000000e+02,2.541726617676767427e-02
3.026666666666666288e+02,1.764947328648720087e-02
3.033333333333333144e+02,5.047017517538208292e-02
3.040000000000000000e+02,-6.930504739148288240e-03
3.046666666666666288e+02,-1.692093777378717717e-02
3.053333333333333144e+02,4.045184844526783507e-02
3.060000000000000000e+02,5.773136969713364014e-02
3.066666666666666288e+02,4.304316102375906755e-02
3.073333333333333144e+02,2.836118996009634463e-02
3.080000000000000000e+02,3.753816255430811322e-02
3.086666666666666288e+02,4.491084364619815639e-02
3.093333333333333144e+02,3.348859478562887793e-02
3.100000000000000000e+02,1.560833609287756024e-02
3.106666666666666288e+02,4.904482268953783836e-02
3.113333333333333144e+02,-2.768561231495471342e-03
3.120000000000000000e+02,3.765137354214603133e-02
3.126666666666666288e+02,3.696748089293194761e-02
3.133333333333333144e+02,2.325056262227812726e-02
3.140000000000000000e+02,4.801803017719563638e-02
3.146666666666666288e+02,3.998114080184499153e-02
3.153333333333333144e+02,1.385975463711896366e-02
3.160000000000000000e+02,-7.936709989866196080e-03
3.166666666666666288e+02,2.182326114088309690e-02
3.173333333333333144e+02,3.534433100673867872e-02
3.180000000000000000e+02,2.769232833175982664e-02
3.186666666666666288e+02,4.534300471115551567e-02
3.193333333333333144e+02,5.214277425083213569e-02
3.200000000000000000e+02,4.920496190182303831e-02
3.206666666666666288e+02,1.686136886583264674e-02
3.213333333333333144e+02,2.307302020525937858e-02
3.220000000000000000e+02,5.692737272479894695e-02
3.226666666666666288e+02,5.735726291222620343e-02
3.233333333333333144e+02,4.508769554706559823e-02
3.240000000000000000e+02,5.453505139533748602e-02
3.246666666666666288e+02,4.323291174360278238e-02
3.253333333333333144e+02,6.995212120940538791e-02
3.260000000000000000e+02,8.877099590701731380e-02
3.266666666666666288e+02,2.537922375365975897e-02
3.273333333333333144e+02,4.912809474625634554e-02
3.280000000000000000e+02,-1.527136737919550930e-02
3.286666666666666288e+02,3.134910500682646511e-02
3.293333333333333144e+02,4.525748224356999916e-02
3.300000000000000000e+02,-4.341246927495490127e-03
3.306666666666666288e+02,6.742535404550289990e-02
3.313333333333333144e+02,2.939713911400868365e-02
3.320000000000000000e+02,5.305000536780420800e-02
3.326666666666666288e+02,-1.595428197799703129e-02
3.333333333333333144e+02,1.171051354369400874e-02
